scenario,eps0,eps0_5,eps1,eps1_5,eps2
raise_personal_allowance,12282.2,10372.04,9177.58,8486.76,8176.1
gdp_minus_3_plus_uc_boost,1676.16,3672.89,5644.82,7807.26,10341.78
uc_taper_45,4986.7,5222.62,5585.31,6087.72,6750.17
gdp_minus_3_plus_tax_cut,7324.17,6250.73,5526.44,5068.83,4824.2
uc_standard_up_10,2529.49,2966.47,3527.88,4245.49,5160.32
cb_remove_hicbc,2247.79,1707.14,1340.44,1084.24,901.25
uc_work_allowance_up_20,1008.15,1123.34,1268.39,1449.67,1675.31
cb_increase_10pct,846.65,921.97,1026.61,1166.4,1349.12
gdp_minus_1,-1521.86,-1303.13,-1192.79,-1152.83,-1164.76
uc_standard_down_10,-2462.51,-2892.98,-3446.11,-4153.28,-5055.03
gdp_minus_3,-4864.23,-4037.26,-3572.23,-3340.78,-3273.77
uc_taper_65,-3471.64,-3671.7,-3962.17,-4354.36,-4864.97
gdp_minus_5,-8894.3,-7104.23,-6110.44,-5593.27,-5388.66
shock_3pp,-12913.24,-10357.33,-8978.87,-8275.2,-8008.0
shock_5pp,-21183.23,-17062.19,-14770.12,-13574.72,-13114.94
